type,item_id,config,config_ts,value,name
tsmnode,6780,CfgTsmNodeAuthentication,2021-02-12 22:40:56,Local,AIDBCLUSTER
tsmnode,6780,CfgTsmNodeAuto_fs_rename,2021-02-12 22:40:56,NO,AIDBCLUSTER
tsmnode,6780,CfgTsmNodeBackdelete,2021-02-12 22:40:56,NO,AIDBCLUSTER
tsmnode,6780,CfgTsmNodeBackup_initiation,2021-02-12 22:40:56,ALL,AIDBCLUSTER
tsmnode,6780,CfgTsmNodeClientVersion,2021-02-12 22:40:56,7.1.8.5,AIDBCLUSTER
tsmnode,6780,CfgTsmNodeClient_hla,2021-02-12 22:40:56,"",AIDBCLUSTER
tsmnode,6780,CfgTsmNodeClient_lla,2021-02-12 22:40:56,"",AIDBCLUSTER
tsmnode,6780,CfgTsmNodeClient_os_level,2021-02-12 22:40:56,6.01,AIDBCLUSTER
tsmnode,6780,CfgTsmNodeClient_os_name,2021-02-12 22:40:56,WIN:Microsoft Windows Server 2008 R2 Enterprise ,AIDBCLUSTER
tsmnode,6780,CfgTsmNodeClient_products,2021-02-12 22:40:56,BA,AIDBCLUSTER
tsmnode,6780,CfgTsmNodeClient_system_architecture,2021-02-12 22:40:56,x64,AIDBCLUSTER
tsmnode,6780,CfgTsmNodeClient_target_level,2021-02-12 22:40:56,"",AIDBCLUSTER
tsmnode,6780,CfgTsmNodeClient_target_release,2021-02-12 22:40:56,"",AIDBCLUSTER
tsmnode,6780,CfgTsmNodeClient_target_sublevel,2021-02-12 22:40:56,"",AIDBCLUSTER
tsmnode,6780,CfgTsmNodeClient_target_version,2021-02-12 22:40:56,"",AIDBCLUSTER
tsmnode,6780,CfgTsmNodeCollocgroup_name,2021-02-12 22:40:56,"",AIDBCLUSTER
tsmnode,6780,CfgTsmNodeCompression,2021-02-12 22:40:56,CLIENT,AIDBCLUSTER
tsmnode,6780,CfgTsmNodeContact,2021-02-12 22:40:56,"",AIDBCLUSTER
tsmnode,6780,CfgTsmNodeDatareadpath,2021-02-12 22:40:56,ANY,AIDBCLUSTER
tsmnode,6780,CfgTsmNodeDatawritepath,2021-02-12 22:40:56,ANY,AIDBCLUSTER
tsmnode,6780,CfgTsmNodeDecomm_date,2021-02-12 22:40:56,"",AIDBCLUSTER
tsmnode,6780,CfgTsmNodeDecomm_state,2021-02-12 22:40:56,"",AIDBCLUSTER
tsmnode,6780,CfgTsmNodeDeduplication,2021-02-12 22:40:56,ClientOrServer,AIDBCLUSTER
tsmnode,6780,CfgTsmNodeDomain_name,2021-02-12 22:40:56,CORP-DR,AIDBCLUSTER
tsmnode,6780,CfgTsmNodeEmail_address,2021-02-12 22:40:56,"",AIDBCLUSTER
tsmnode,6780,CfgTsmNodeGuid,2021-02-12 22:40:56,5e.00.14.c0.0b.fa.11.e3.85.38.00.50.56.a0.2c.d4,AIDBCLUSTER
tsmnode,6780,CfgTsmNodeHypervisor,2021-02-12 22:40:56,VMware,AIDBCLUSTER
